regenerate,"vt.使新生,重建,改革,革新vi.新生,再生,起革新作用adj.新生的,更新的"
regiment,"n.团,大群v.把...编组,把...编成团,管辖"
regurgitate,"v.(使)涌回,(使)流回,(使)反刍"
rehabilitate,"v.使(身体)康复,使复职,使恢复名誉,使复原"
relegate,"v.转移,归入,提交"
relent,"vi.变宽厚,变温和"
remand,"n.送还,还押vt.归还,还押"
reminisce,v.回忆
remonstrate,v.抗议
remunerate,v.酬劳
rend,v.撕碎
render,"vt.呈递,归还,着色,汇报,致使,放弃,表演,实施vi.给予补偿n.交纳,粉刷,打底"
reorient,"vt.使适应,再教育"
repast,"n.餐vi.设宴,就餐"
repatriate,v.遣返
repine,v.抱怨
riffle,"n.浅滩,湍流,涟漪,洗牌动作vt.使起涟漪,迅速洗牌vi.流过浅滩,成涟漪.迅速翻书"
riposte,"n.还刺,机敏回答vi.还刺,尖锐回答"
roam,"v.漫游,闲逛,徜徉n.漫步,漫游,徘徊"
rosin,"n.松香,树脂vt.用松香"
roust,"vt.惊起,唤醒,激动,驱逐"
ruck,"vt.弄皱vi.变皱n.皱褶,一群"
rumple,"v.弄皱,弄得乱七八糟n.皱纹,皱褶"
salve,n.药膏v.涂油膏
sandbag,"n.沙袋vt.堆沙袋,用沙袋打"
sass,"n.无礼的话,炖熟的水果vt.顶嘴"
sauce,"n.沙司,酱油,调味料vt.调味,使增加趣味"
scab,"n.疤,痂,不参加罢工的工人,恶棍,工贼vi.结痂,当工贼"
scamp,n.流氓vt.草率地做
scamper,v.奔跳n.奔跑
scotch,"n.苏格兰人,苏格兰语adj.苏格兰人的,苏格兰语的n.刻痕vt.镇压,粉碎,刻痕,使受伤"
scrabble,"vi.乱写,乱涂,扒寻,摸索,挣扎vt.扒成,拼凑成n.一种拼字游戏,扒,抓,摸索,挣扎"
scram,n.紧急刹车vi.滚开
scrawl,"vt.乱涂,潦草地写vi.乱写n.潦草的笔迹"
scrimshaw,v.雕刻(贝壳)n.雕刻(贝壳)
scrounge,"vt.占有,行乞,搜寻,搜集vi.东张西望,搜寻,搜集,乞讨,偷东西"
scrum," (=scrummage) 扭打,混乱,<美>[橄]两队并列争球"
scrunch,"vt.碾碎,使弯曲vi.嘎吱嘎吱地作响,蜷缩n.嘎吱嘎吱的响声"
scud,"vi.迅速地移动或奔跑n.飞奔,飞云,小阵雨,碎雨云,风吹起的浪或水花"
scupper,"n.排水孔,<俚><贬>女人(尤指妓女)"
shamble,"vi.蹒跚地走,摇摇晃晃地走n.蹒跚,摇晃的脚步,拖沓的脚步"
shimmy,"n.西迷舞,摇动v.摇动,震颤,晃动"
shotgun,"n.散弹猎枪,鸟枪"
shrivel,"v.(使)起皱纹,(使)枯萎,(使)束手无策"
sickle,n.镰刀
sickly,"adj.有病的,苍白的,惨淡的,疾病流行的,令人作呕的,多病的"
silkscreen,"n.丝网印刷,丝网印刷品adj.丝网印刷的,用丝网印刷术印制的vt.用丝网印刷术印制(或装饰、复印)"
skipper,n.船长
skive,"vt.把...割成薄片,磨"
skulk,"vi.偷偷隐躲,偷懒"
slag,"n.矿渣,炉渣,火山岩渣v.起溶渣,成溶渣"
slat,"n.板条,狭板vt.用板条做或装备,打,猛投"
slather,"vt.大量的用,厚厚地涂n.大量"
slog,v.艰难行进
slop,"v.溢出,溅溢"
slosh,"n.泥泞,溅泼声v.溅,泼"
sludge,"n.软泥,淤泥,矿泥,煤泥"
slump,"n.消沉,衰退,(物价)暴跌v.失败,消沉,(物价)暴跌,跌落"
snuggle,v.偎依
sop,n.面包片v.浸
souse,"n.盐汁,腌制的食品,腌制食品用的盐水vt.腌制,弄醉vi.被浸透,变醉adv.扑通地一声"
spangle,n.亮晶晶的小东西v.(使)闪烁
spindle,"n.锭子,纺锤,细长的人(或物),轴,杆,心轴v.长得细长,装锭子于adj.锭子的,锭子似的"
spire,n.尖顶
splice,v.接合
sprig,"n.小枝,小枝状饰物,子孙,年青人,图钉vt.用小树枝装饰,用钉子钉上,使蔓生"
