genealogy,"n.系谱,家系,宗谱"
genial,adj.亲切的
genteel,adj.上流社会的
gentility," 有教养,文雅"
genus,"n.种,类"
gerontocracy,"n.老人统治,老人政治,老人政府"
gibber,v.胡言乱语地说; n.胡言乱语
gibberish,"n.快速而不清说的言语,乱语"
gibe,v.嘲笑n.嘲笑
gleam,"n.微弱的闪光,一丝光线,瞬息的一现vi.闪烁,隐约地闪现vt.使发微光,使闪烁"
glimmer,v.闪烁n.闪光
glint,n.闪烁
glitz,n.炫目；浮华
glossy,"adj.平滑的,有光泽的"
glow,"vi.发光,发热"
glower,v.怒目而视
glycerin,n.甘油
gob,n.一小团；块；滴；(英）嘴；<俚> 水兵
gobble,"n.火鸡叫声vt.狼吞虎咽vi.贪食,咯咯叫声"
goof,n.愚蠢的人；愚蠢的错误
goofy,adj.愚笨的；傻瓜的
grandiose,"adj.宏伟的,堂皇的,宏大的"
granola,n.格兰诺拉麦片(源出商标名)
gratify,vt.使满足
grating,"n.门窗的栅栏,[物理]光栅,摩擦,摩擦声adj.刺耳的"
gratis,"adv.免费,白送adj.免费的"
gratuitous,"adj.免费的,无理由的"
gravel,n.碎石
gravelly,"adj.多碎石的, 铺有碎石的, 发出沙哑声的"
gravitas,"n. 庄严的举止, 庄严"
grievance,"n.委屈,冤情,不平"
grievous,adj.令人忧伤的
grim,adj.严酷的
grimy,"adj.污秽的,肮脏的"
gripe,"n.紧握,柄,把手,控制,苦恼vt.抓紧,抱住,激怒,使苦恼,使肠痛vi.肠痛,抱怨"
grippe,n.流行性感冒
grisly,"adj.恐怖的,可怕的,令人毛骨悚然的"
grit,"n.粗砂v.研磨,在...上铺砂砾"
groggy,"adj.酒醉的,东歪西倒的,摇摇晃晃的,头昏眼花的"
groin,n.腹股沟；交叉拱；弧棱；防波堤
groovy,adj.<俚> 绝妙的；时髦的
grouch,"n.不高兴的人,心怀不满vi.<美>闹脾气,发牢骚"
grouchy,"adj.不高兴的, 爱抱怨的"
grouse,"n.松鸡,牢骚vi.埋怨"
grudging,"adj.不愿的,勉强的,吝啬的"
grueling,"n.重罚,严惩"
gruff,"adj.(说话、态度等) 粗暴的,生硬的,脾气坏的,(声音)粗哑的"
grumble,"adj.抱怨地表示,嘟囔地说n.怨言,满腹牢骚vi.抱怨,发牢骚,咕哝,嘟囔,隆隆响vt.喃喃地说出"
guck,n.<美俚> 粘糊糊的东西
gummy,adj.黏性的；（微笑时）露齿龈的
gumption,n.机智；精明；魄力；进取心
hallow,"vt.使...神圣,视为神圣"
halting,"adj.跛的,犹豫的,蹒跚的"
ham-handed,"a. 手特大的, 笨手笨脚的"
hangdog,"adj.鬼鬼祟祟的,卑躬屈膝的,低贱的n.(原义:像狗一样被吊死的人) 卑鄙(或卑贱)的人"
haphazard,"n.偶然,偶然事件adj.偶然的,随便的adv.偶然地"
hard-bitten,"a. 顽强的, 不易对付的, 难以驾御的, 顽固的"
harried,动词harry的过去式; 动词harry的过去分词
harrow,"n.耙(地),使精神痛苦vt.耙掘,伤害,使苦恼vi.被耙松"
harrowing,"adj.痛心的,悲惨的"
harry,"v.掠夺,折磨"
headlong,"adv.头向前地,轻率地"
heave-ho,n.拒绝；开除
hedonic,adj.享乐的n.享乐主义学说
heedless,adj.不注意的
helium,n.氦
helter-skelter,n.慌张；狼狈
hereafter,"adv.今后,从此以后"
hermaphrodite,"n.具有两性者,阴阳人,两性体 ; adj.雌雄同体的"
hew,
hidebound,"adj.营养不良的,量小的,死板的"
higgledy-piggledy,adj. 杂乱无章的; adv. 混乱地
high-flown,
hillbilly,n.乡下人；乡巴佬；山区居民
hindmost,"adj.最后面的,最后部的"
hissy fit,发脾气
histrionic,adj.戏剧的
hoary,"adj.灰白的,(因年迈而)头发灰白的,古代的,久远的"
hodgepodge,n.大杂烩
ho-hum,adj.无聊的；乏味的
hoi polloi,"n. 民众, 大众"
